
---------- Begin Simulation Statistics ----------
simSeconds                                   0.025142                       # Number of seconds simulated (Second)
system.cpu.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__2.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.MemDepUnit__3.insertedLoads              0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.insertedStores             0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu.branchPred.lookups                 2280301                       # Number of BP lookups (Count)
system.cpu.branchPred.condPredicted           2278716                       # Number of conditional branches predicted (Count)
system.cpu.branchPred.condIncorrect              1226                       # Number of conditional branches incorrect (Count)
system.cpu.branchPred.BTBLookups              2275226                       # Number of BTB lookups (Count)
system.cpu.branchPred.BTBHits                 2274327                       # Number of BTB hits (Count)
system.cpu.branchPred.BTBHitRatio            0.999605                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                     377                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  1                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups             422                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits                 16                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses              406                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          120                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts           75396                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              12                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts              1051                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples     25104228                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     0.709015                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     1.560875                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0        19531835     77.80%     77.80% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1          256480      1.02%     78.82% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2         2273858      9.06%     87.88% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3         1477573      5.89%     93.77% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          709478      2.83%     96.59% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5          286627      1.14%     97.74% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           37050      0.15%     97.88% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7          181596      0.72%     98.61% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8          349731      1.39%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total     25104228                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted              9998499                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted               17799282                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                     2327908                       # Number of memory references committed (Count)
system.cpu.commit.loads                        128105                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           8                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                    2264807                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                    2001420                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                    15923332                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                   184                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass          245      0.00%      0.00% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     13969432     78.48%     78.48% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult         1009      0.01%     78.49% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv           35      0.00%     78.49% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd          147      0.00%     78.49% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCmp            0      0.00%     78.49% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatCvt            0      0.00%     78.49% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMult            0      0.00%     78.49% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMultAcc            0      0.00%     78.49% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatDiv            0      0.00%     78.49% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatMisc            0      0.00%     78.49% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatSqrt            0      0.00%     78.49% # Class of committed instruction (Count)
